app_id,app_name,app_aliases,category,source,form,cooked_yield_ratio,ifct_code,ifct_name_used,usda_fdc_id,usda_description,mapping_notes,confidence,gaps_filled_from,unit_default_g,household_units,allergens,dietary_tags,review_status
basmati_rice_raw,Basmati rice (raw),basmati; long grain rice,grain,ifct,raw,3,A015,"Rice, raw, milled",,,IFCT does not break out basmati varietal; A015 (raw milled white rice) is the closest measured match. Sona masoori uses same code.,good,,200,"{""cup_raw"": 200, ""katori_cooked"": 150, ""cup_cooked"": 175}",,vegetarian eggetarian fishetarian veg,human_ok
sona_masoori_rice_raw,Sona masoori rice (raw),sona masuri; medium grain rice,grain,ifct,raw,3,A015,"Rice, raw, milled",,,IFCT does not break out sona masoori varietal; A015 (raw milled white rice) is the closest measured match.,good,,200,"{""cup_raw"": 200, ""katori_cooked"": 150, ""cup_cooked"": 175}",,vegetarian eggetarian fishetarian veg,human_ok
parboiled_rice_raw,Parboiled rice (raw),ukda chawal; sela rice; idli rice,grain,ifct,raw,3,A014,"Rice, parboiled, milled",,,,exact,,200,"{""cup_raw"": 200, ""katori_cooked"": 150}",,vegetarian eggetarian fishetarian veg,human_ok
whole_wheat_flour_raw,Whole wheat flour (atta),atta; gehu ka atta; chakki atta,grain,ifct,raw,1.5,A019,"Wheat flour, atta",,,,exact,,120,"{""cup"": 120, ""tbsp"": 8}",gluten,vegetarian eggetarian fishetarian veg,human_ok
refined_wheat_flour_raw,Refined wheat flour (maida),maida; all purpose flour; APF,grain,ifct,raw,1.5,A018,"Wheat flour, refined",,,,exact,,125,"{""cup"": 125, ""tbsp"": 8}",gluten,vegetarian eggetarian fishetarian veg,human_ok
finger_millet_flour_raw,Finger millet flour (ragi flour),ragi atta; nachni flour; mandua atta,grain,ifct,raw,1.5,A010,Ragi,,,IFCT A010 is whole ragi grain; in India ragi flour is the dominant consumed form so the per-100g composition is essentially the same. Same code used for flour.,good,,120,"{""cup"": 120, ""tbsp"": 8}",,vegetarian eggetarian fishetarian veg,human_ok
pearl_millet_flour_raw,Pearl millet flour (bajra flour),bajra atta; kambu maavu,grain,ifct,raw,1.5,A003,Bajra,,,IFCT A003 is whole bajra grain; bajra flour is functionally the same composition. Same code used for flour.,good,,120,"{""cup"": 120, ""tbsp"": 8}",,vegetarian eggetarian fishetarian veg,human_ok
sorghum_flour_raw,Sorghum flour (jowar flour),jowar atta; cholam maavu,grain,ifct,raw,1.5,A005,Jowar,,,IFCT A005 is whole jowar grain; jowar flour has essentially the same composition. Same code used for flour.,good,,120,"{""cup"": 120, ""tbsp"": 8}",,vegetarian eggetarian fishetarian veg,human_ok
flattened_rice_raw,Flattened rice (poha),poha; aval; chivda; chura; beaten rice,grain,ifct,raw,3,A011,Rice flakes,,,,exact,,80,"{""cup"": 80, ""katori_raw"": 50}",,vegetarian eggetarian fishetarian veg,human_ok
broken_wheat_raw,Broken wheat (dalia),dalia; lapsi; cracked wheat; fada,grain,ifct,raw,3,A021,"Wheat, bulgur",,,"Broken wheat (dalia) is parboiled cracked wheat, functionally equivalent to bulgur. A021 is the closest measured IFCT match. A020 (Wheat, whole) would be acceptable alternative for unparboiled cracked wheat.",good,,180,"{""cup_raw"": 180, ""katori_cooked"": 150}",gluten,vegetarian eggetarian fishetarian veg,human_ok
